Method	Precision 	Recall	F1	Accuracy	DATASET
Simple ANN - 1	0.9654	0.9643	0.9646	0.9643	PTBDB A
Simple ANN - 2	0.9445	0.9437	0.944	0.9437	PTBDB A
Simple ANN - 3	0.9593	0.9588	0.959	0.9588	PTBDB A
Simple ANN - 4	0.9667	0.9667	0.9667	0.9667	PTBDB A
Simple ANN - 1	0.9725	0.9725	0.9725	0.9725	PTBDB B
Simple ANN - 2	0.9566	0.9564	0.9565	0.9564	PTBDB B
Simple ANN - 3	0.9573	0.9574	0.9574	0.9574	PTBDB B
Simple ANN - 4	0.9663	0.966	0.9661	0.966	PTBDB B
Simple CNN - 1	0.9775	0.9773	0.9774	0.9773	PTBDB A
Simple CNN - 2	0.9804	0.9804	0.9804	0.9804	PTBDB A
Simple CNN - 3	0.9783	0.9784	0.9783	0.9784	PTBDB A
Simple CNN - 4	0.9842	0.9842	0.9842	0.9842	PTBDB A
Simple CNN - 1	0.9853	0.9852	0.9852	0.9852	PTBDB B
Simple CNN - 2	0.9785	0.9784	0.9784	0.9784	PTBDB B
Simple CNN - 3	0.9832	0.9832	0.9832	0.9832	PTBDB B
Simple CNN - 4	0.9856	0.9856	0.9856	0.9856	PTBDB B
Advanced CNN - 1	0.9904	0.9904	0.9904	0.9904	PTBDB A
Advanced CNN - 2	0.9845	0.9842	0.9841	0.9842	PTBDB A
Advanced CNN - 3	0.9884	0.9883	0.9883	0.9883	PTBDB A
Advanced CNN - 4	0.9938	0.9938	0.9938	0.9938	PTBDB A
Advanced CNN - 1	0.9921	0.9921	0.9921	0.9921	PTBDB B
Advanced CNN - 2	0.9873	0.9873	0.9873	0.9873	PTBDB B
Advanced CNN - 3	0.9907	0.9907	0.9907	0.9907	PTBDB B
Advanced CNN - 4	0.9959	0.9959	0.9959	0.9959	PTBDB B
