Method	Precision 	Recall	F1	Accuracy	DATASET
SVM	0.9676	0.968	0.9657	0.968	Mitbih A
KNN	0.9727	0.9736	0.9725	0.9736	Mitbih A
Decision Tree	0.9548	0.9548	0.9548	0.9548	Mitbih A
Random Forest	0.9745	0.9746	0.9729	0.9746	Mitbih A
XGB	0.9804	0.9808	0.9799	0.9808	Mitbih A
SVM	0.9629	0.9366	0.9462	0.9366	Mitbih B (SMOTE)
KNN	0.966	0.9551	0.959	0.9551	Mitbih B (SMOTE)
Decision Tree	0.9499	0.9402	0.9439	0.9402	Mitbih B (SMOTE)
Random Forest	0.9806	0.9811	0.9808	0.9811	Mitbih B (SMOTE)
XGB	0.9727	0.9684	0.97	0.9684	Mitbih B (SMOTE)
SVM	0.9278	0.8344	0.8715	0.8344	Mitbih C
KNN	0.9195	0.7671	0.8204	0.7671	Mitbih C
Decision Tree	0.8975	0.7072	0.7673	0.7072	Mitbih C
Random Forest	0.9421	0.8743	0.8998	0.8743	Mitbih C
XGB	0.943	0.8716	0.8978	0.8716	Mitbih C
