Method	Precision 	Recall	F1	Accuracy	DATASET
SVM	0.9126	0.9138	0.9126	0.9138	Ptbdb A
KNN	0.9339	0.932	0.9326	0.932	Ptbdb A
Decision Tree	0.9283	0.9285	0.9284	0.9285	Ptbdb A
Random Forest	0.974	0.9739	0.9736	0.9739	Ptbdb A
XGB	0.9797	0.9797	0.9797	0.9797	Ptbdb A
SVM	0.9159	0.9045	0.907	0.9045	Ptbdb B (SMOTE)
KNN	0.9322	0.9206	0.9228	0.9206	Ptbdb B (SMOTE)
Decision Tree	0.9215	0.92	0.9205	0.92	Ptbdb B (SMOTE)
Random Forest	0.9759	0.976	0.9759	0.976	Ptbdb B (SMOTE)
XGB	0.9763	0.9763	0.9763	0.9763	Ptbdb B (SMOTE)
SVM	0.8941	0.8674	0.8725	0.8674	Ptbdb C
KNN	0.8987	0.8681	0.8735	0.8681	Ptbdb C
Decision Tree	0.914	0.9076	0.9093	0.9076	Ptbdb C
Random Forest	0.9573	0.9543	0.955	0.9543	Ptbdb C
XGB	0.9663	0.9646	0.965	0.9646	Ptbdb C
